age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,target,workclass_Imputed,occupation_Imputed
18.0, Private,8.0, Never-married, Handlers-cleaners, Own-child, White, Male,40.0, Columbia,0, Private, Handlers-cleaners
59.0, Private,13.0, Separated, Adm-clerical, Unmarried, White, Male,60.0, United-States,0, Private, Adm-clerical
22.0, Private,9.0, Divorced, Tech-support, Unmarried, White, Female,30.0, Germany,0, Private, Tech-support
40.0, Self-emp-not-inc,15.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,40.0, United-States,1, Self-emp-not-inc, Prof-specialty
31.0, Private,15.0, Never-married, Prof-specialty, Not-in-family, White, Female,99.0, United-States,0, Private, Prof-specialty
19.0, Private,10.0, Never-married, Adm-clerical, Own-child, White, Female,40.0, Puerto-Rico,0, Private, Adm-clerical
30.0, Private,10.0, Never-married, Craft-repair, Unmarried, White, Male,40.0, United-States,0, Private, Craft-repair
68.0, Private,4.0, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,40.0, United-States,0, Private, Craft-repair
47.0, Private,10.0, Divorced, Sales, Unmarried, White, Male,50.0, United-States,0, Private, Sales
51.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,45.0, United-States,1, Private, Exec-managerial
30.0, Private,13.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,40.0, United-States,1, Private, Adm-clerical
53.0, State-gov,10.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,50.0, United-States,0, State-gov, Farming-fishing
33.0, Private,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,60.0, United-States,1, Private, Craft-repair
35.0, Self-emp-not-inc,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0, Self-emp-not-inc, Craft-repair
44.0, Local-gov,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,1, Local-gov, Craft-repair
49.0, Private,10.0, Married-civ-spouse, Other-service, Husband, White, Male,17.0, United-States,0, Private, Other-service
50.0, Private,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,40.0, United-States,0, Private, Adm-clerical
37.0, Private,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,46.0, United-States,0, Private, Machine-op-inspct
61.0, Private,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,40.0, United-States,1, Private, Transport-moving
34.0, Private,15.0, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,40.0, United-States,0, Private, Prof-specialty
41.0, Private,13.0, Divorced, Tech-support, Not-in-family, White, Female,30.0, United-States,0, Private, Tech-support
38.0, Self-emp-not-inc,7.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0, Self-emp-not-inc, Craft-repair
26.0, Private,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,40.0, United-States,0, Private, Protective-serv
60.0, Private,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,40.0, United-States,0, Private, Adm-clerical
51.0, Private,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,50.0, United-States,1, Private, Exec-managerial
32.0, Local-gov,11.0, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,40.0, United-States,0, Local-gov, Craft-repair
20.0, Private,10.0, Never-married, Prof-specialty, Own-child, White, Male,20.0, United-States,0, Private, Prof-specialty
22.0, Private,9.0, Never-married, Other-service, Own-child, White, Male,50.0, United-States,0, Private, Other-service
27.0, Private,9.0, Separated, Machine-op-inspct, Own-child, White, Female,40.0, United-States,0, Private, Machine-op-inspct
48.0, Local-gov,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,40.0, United-States,1, Local-gov, Prof-specialty
19.0, Private,10.0, Never-married, Other-service, Own-child, White, Male,30.0, Mexico,0, Private, Other-service
30.0, Private,9.0, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,40.0, Vietnam,0, Private, Craft-repair
45.0, Private,6.0, Divorced, Other-service, Not-in-family, Black, Female,38.0, Dominican-Republic,0, Private, Other-service
60.0, Private,9.0, Married-civ-spouse, Other-service, Wife, White, Female,40.0, United-States,1, Private, Other-service
46.0, Private,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,55.0, United-States,1, Private, Exec-managerial
34.0, Private,9.0, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Female,32.0, United-States,0, Private, Other-service
30.0, Private,11.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,55.0, United-States,0, Private, Exec-managerial
54.0, Private,7.0, Divorced, Craft-repair, Own-child, White, Female,50.0, United-States,1, Private, Craft-repair
47.0, Private,9.0, Never-married, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Male,56.0, Puerto-Rico,0, Private, Machine-op-inspct
57.0, Private,15.0, Never-married, Prof-specialty, Not-in-family, White, Female,40.0, United-States,0, Private, Prof-specialty
31.0, Private,13.0, Never-married, Exec-managerial, Not-in-family, White, Male,55.0, United-States,0, Private, Exec-managerial
34.0, Private,9.0, Never-married, Craft-repair, Not-in-family, White, Male,40.0, United-States,0, Private, Craft-repair
55.0, Private,6.0, Married-civ-spouse, Other-service, Husband, Black, Male,40.0, United-States,0, Private, Other-service
46.0, State-gov,11.0, Divorced, Adm-clerical, Unmarried, White, Female,38.0, United-States,0, State-gov, Adm-clerical
36.0, Local-gov,9.0, Never-married, Other-service, Unmarried, Black, Female,70.0, United-States,0, Local-gov, Other-service
54.0, Private,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, Germany,1, Private, Craft-repair
25.0, Private,10.0, Never-married, Adm-clerical, Not-in-family, White, Male,40.0, United-States,0, Private, Adm-clerical
52.0, Private,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,55.0, Canada,1, Private, Exec-managerial
62.0, Private,9.0, Widowed, Craft-repair, Unmarried, White, Male,40.0, United-States,0, Private, Craft-repair
41.0, Private,5.0, Married-civ-spouse, Transport-moving, Husband, White, Male,35.0, United-States,0, Private, Transport-moving
60.0, Self-emp-inc,7.0, Married-civ-spouse, Transport-moving, Husband, White, Male,40.0, United-States,1, Self-emp-inc, Transport-moving
58.0, Private,9.0, Divorced, Tech-support, Not-in-family, White, Male,39.0, United-States,1, Private, Tech-support
22.0, Private,9.0, Never-married, Tech-support, Not-in-family, White, Female,40.0, United-States,0, Private, Tech-support
45.0, Private,13.0, Never-married, Prof-specialty, Not-in-family, White, Male,46.0, United-States,0, Private, Prof-specialty
45.0, Private,12.0, Divorced, Tech-support, Unmarried, White, Female,40.0, United-States,0, Private, Tech-support
46.0, Private,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,40.0, United-States,1, Private, Prof-specialty
63.0, Private,9.0, Divorced, Exec-managerial, Not-in-family, White, Female,40.0, United-States,0, Private, Exec-managerial
30.0, Private,6.0, Never-married, Craft-repair, Not-in-family, White, Male,50.0, United-States,0, Private, Craft-repair
38.0, Local-gov,13.0, Never-married, Protective-serv, Not-in-family, White, Female,43.0, United-States,1, Local-gov, Protective-serv
41.0, Private,12.0, Married-civ-spouse, Tech-support, Husband, White, Male,40.0, United-States,0, Private, Tech-support
47.0, Private,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0, Private, Craft-repair
38.0, Private,13.0, Married-civ-spouse, Other-service, Husband, White, Male,35.0, Mexico,0, Private, Other-service
18.0, Self-emp-inc,9.0, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,30.0, India,0, Self-emp-inc, Other-service
23.0, State-gov,9.0, Never-married, Other-service, Own-child, White, Female,21.0, United-States,0, State-gov, Other-service
24.0, Private,10.0, Never-married, Adm-clerical, Own-child, Black, Female,40.0, United-States,0, Private, Adm-clerical
29.0, Private,13.0, Never-married, Prof-specialty, Not-in-family, White, Male,40.0, United-States,0, Private, Prof-specialty
46.0, Local-gov,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,38.0, United-States,1, Local-gov, Prof-specialty
17.0, Private,6.0, Never-married, Other-service, Own-child, White, Female,40.0, United-States,0, Private, Other-service
33.0, Private,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,20.0, United-States,1, Private, Adm-clerical
43.0, Private,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,40.0, United-States,1, Private, Prof-specialty
18.0, Private,8.0, Never-married, Other-service, Own-child, White, Male,30.0, United-States,0, Private, Other-service
43.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0, Private, Craft-repair
32.0, Private,10.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Female,37.0, United-States,0, Private, Transport-moving
34.0, Private,14.0, Divorced, Exec-managerial, Unmarried, Black, Female,40.0, United-States,0, Private, Exec-managerial
23.0, Private,10.0, Never-married, Transport-moving, Not-in-family, White, Male,60.0, United-States,0, Private, Transport-moving
70.0, Private,9.0, Widowed, Craft-repair, Not-in-family, White, Female,40.0, United-States,0, Private, Craft-repair
48.0, Local-gov,9.0, Married-civ-spouse, Tech-support, Wife, White, Female,40.0, United-States,1, Local-gov, Tech-support
23.0, Private,10.0, Never-married, Sales, Not-in-family, White, Male,40.0, United-States,0, Private, Sales
38.0, Private,10.0, Married-civ-spouse, Other-service, Wife, White, Female,40.0, United-States,0, Private, Other-service
39.0, Self-emp-not-inc,9.0, Married-civ-spouse, Sales, Husband, White, Male,50.0, United-States,1, Self-emp-not-inc, Sales
45.0, Self-emp-inc,4.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,52.0, United-States,0, Self-emp-inc, Exec-managerial
62.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,24.0, United-States,0, Private, Craft-repair
53.0, Private,7.0, Divorced, Other-service, Not-in-family, White, Female,37.0, United-States,0, Private, Other-service
28.0, Private,13.0, Divorced, Other-service, Unmarried, White, Female,48.0, England,1, Private, Other-service
59.0, Private,9.0, Widowed, Craft-repair, Not-in-family, White, Female,35.0, United-States,0, Private, Craft-repair
28.0, Private,9.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,40.0, United-States,0, Private, Adm-clerical
29.0, Self-emp-not-inc,10.0, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,45.0, South,0, Self-emp-not-inc, Exec-managerial
43.0, Private,10.0, Married-civ-spouse, Other-service, Husband, White, Male,44.0, United-States,0, Private, Other-service
41.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,60.0, United-States,1, Private, Exec-managerial
51.0, Self-emp-inc,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,25.0, United-States,0, Self-emp-inc, Exec-managerial
53.0, Federal-gov,14.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,40.0, United-States,1, Federal-gov, Adm-clerical
46.0, Local-gov,12.0, Married-civ-spouse, Protective-serv, Husband, White, Male,49.0, United-States,1, Local-gov, Protective-serv
38.0, Private,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,40.0, United-States,1, Private, Exec-managerial
59.0, Private,10.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,36.0, United-States,1, Private, Prof-specialty
41.0, Private,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,50.0, United-States,1, Private, Exec-managerial
32.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,45.0, United-States,1, Private, Exec-managerial
30.0, Private,9.0, Divorced, Adm-clerical, Unmarried, White, Female,35.0, United-States,0, Private, Adm-clerical
20.0, Self-emp-not-inc,10.0, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,20.0, South,0, Self-emp-not-inc, Prof-specialty
39.0, Local-gov,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,45.0, United-States,1, Local-gov, Prof-specialty
43.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,50.0, United-States,1, Private, Exec-managerial
39.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,1, Private, Craft-repair
19.0, Private,9.0, Never-married, Handlers-cleaners, Own-child, White, Male,25.0, United-States,0, Private, Handlers-cleaners
25.0, Private,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,44.0, United-States,1, Private, Transport-moving
37.0, Private,15.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,40.0, United-States,0, Private, Exec-managerial
32.0, Private,9.0, Divorced, Handlers-cleaners, Not-in-family, White, Male,40.0, United-States,0, Private, Handlers-cleaners
18.0, Private,7.0, Never-married, Handlers-cleaners, Own-child, White, Male,15.0, United-States,0, Private, Handlers-cleaners
61.0, Private,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,40.0, United-States,0, Private, Adm-clerical
29.0, Private,5.0, Never-married, Machine-op-inspct, Not-in-family, White, Male,40.0, United-States,0, Private, Machine-op-inspct
69.0, Private,9.0, Married-civ-spouse, Other-service, Husband, White, Male,20.0, United-States,0, Private, Other-service
25.0, Private,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0, Private, Craft-repair
41.0, Private,14.0, Widowed, Prof-specialty, Not-in-family, White, Female,55.0, United-States,0, Private, Prof-specialty
22.0, Private,10.0, Never-married, Other-service, Not-in-family, White, Male,10.0, United-States,0, Private, Other-service
20.0, Private,10.0, Never-married, Adm-clerical, Own-child, White, Male,48.0, United-States,0, Private, Adm-clerical
33.0, Private,15.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,40.0, United-States,1, Private, Exec-managerial
44.0, State-gov,13.0, Never-married, Adm-clerical, Not-in-family, White, Female,38.0, United-States,0, State-gov, Adm-clerical
24.0, Private,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,44.0, United-States,1, Private, Prof-specialty
44.0, Private,6.0, Married-civ-spouse, Transport-moving, Husband, White, Male,40.0, United-States,0, Private, Transport-moving
33.0, Self-emp-not-inc,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,60.0, United-States,1, Self-emp-not-inc, Prof-specialty
38.0, Private,9.0, Never-married, Other-service, Unmarried, Black, Female,40.0, United-States,0, Private, Other-service
39.0, Private,10.0, Divorced, Sales, Unmarried, White, Female,40.0, United-States,0, Private, Sales
42.0, Private,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,45.0, United-States,1, Private, Prof-specialty
37.0, Private,13.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,40.0, United-States,0, Private, Adm-clerical
42.0, Private,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,60.0, United-States,1, Private, Transport-moving
17.0, Private,7.0, Never-married, Other-service, Own-child, White, Female,7.0, United-States,0, Private, Other-service
18.0, Private,8.0, Never-married, Other-service, Own-child, White, Female,32.0, United-States,0, Private, Other-service
41.0, Private,10.0, Widowed, Adm-clerical, Unmarried, Black, Female,48.0, United-States,0, Private, Adm-clerical
50.0, Private,7.0, Widowed, Machine-op-inspct, Not-in-family, White, Female,40.0, United-States,0, Private, Machine-op-inspct
34.0, Private,11.0, Divorced, Prof-specialty, Unmarried, White, Female,40.0, United-States,0, Private, Prof-specialty
27.0, Private,6.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40.0, United-States,0, Private, Handlers-cleaners
35.0, Local-gov,14.0, Never-married, Prof-specialty, Not-in-family, White, Male,60.0, United-States,1, Local-gov, Prof-specialty
20.0, Private,10.0, Never-married, Craft-repair, Own-child, White, Male,40.0, United-States,0, Private, Craft-repair
20.0, Private,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,40.0, United-States,0, Private, Adm-clerical
37.0, Private,9.0, Married-civ-spouse, Other-service, Husband, White, Male,40.0, Guatemala,0, Private, Other-service
53.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,40.0, United-States,0, Private, Exec-managerial
31.0, Private,9.0, Divorced, Machine-op-inspct, Unmarried, White, Female,40.0, United-States,0, Private, Machine-op-inspct
36.0, Self-emp-not-inc,16.0, Separated, Prof-specialty, Unmarried, White, Female,10.0, Canada,0, Self-emp-not-inc, Prof-specialty
35.0, Private,10.0, Divorced, Exec-managerial, Not-in-family, White, Female,70.0, United-States,0, Private, Exec-managerial
40.0, Local-gov,13.0, Married-civ-spouse, Protective-serv, Husband, Black, Male,40.0, United-States,1, Local-gov, Protective-serv
44.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,60.0, United-States,1, Private, Exec-managerial
25.0, Private,7.0, Divorced, Exec-managerial, Unmarried, White, Female,40.0, United-States,0, Private, Exec-managerial
59.0, Local-gov,9.0, Divorced, Adm-clerical, Unmarried, White, Female,38.0, United-States,0, Local-gov, Adm-clerical
18.0, Private,6.0, Never-married, Farming-fishing, Own-child, White, Male,36.0, United-States,0, Private, Farming-fishing
29.0, Private,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,50.0, United-States,1, Private, Prof-specialty
56.0, State-gov,13.0, Widowed, Prof-specialty, Not-in-family, White, Female,40.0, United-States,0, State-gov, Prof-specialty
38.0, Local-gov,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,50.0, United-States,1, Local-gov, Prof-specialty
24.0, Private,10.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,40.0, United-States,0, Private, Adm-clerical
45.0, Private,13.0, Married-civ-spouse, Craft-repair, Husband, White, Male,72.0, United-States,1, Private, Craft-repair
17.0, Private,7.0, Never-married, Other-service, Own-child, Black, Male,16.0, Haiti,0, Private, Other-service
20.0, Private,10.0, Never-married, Sales, Own-child, White, Female,20.0, United-States,0, Private, Sales
63.0, Self-emp-not-inc,4.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,30.0, United-States,0, Self-emp-not-inc, Farming-fishing
45.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0, Private, Craft-repair
33.0, Federal-gov,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0, Federal-gov, Craft-repair
23.0, Private,9.0, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,45.0, United-States,0, Private, Machine-op-inspct
64.0, Private,13.0, Married-civ-spouse, Sales, Husband, White, Male,40.0, United-States,0, Private, Sales
28.0, Private,10.0, Never-married, Transport-moving, Not-in-family, White, Male,50.0, United-States,0, Private, Transport-moving
39.0, Private,5.0, Separated, Craft-repair, Own-child, White, Male,35.0, Mexico,0, Private, Craft-repair
55.0, Private,10.0, Married-civ-spouse, Transport-moving, Husband, White, Male,6.0, United-States,1, Private, Transport-moving
23.0, Local-gov,10.0, Never-married, Adm-clerical, Own-child, White, Female,20.0, United-States,0, Local-gov, Adm-clerical
36.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,60.0, United-States,1, Private, Exec-managerial
42.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,60.0, Dominican-Republic,0, Private, Craft-repair
21.0, Private,12.0, Never-married, Prof-specialty, Not-in-family, White, Female,40.0, United-States,0, Private, Prof-specialty
28.0, Local-gov,12.0, Married-civ-spouse, Protective-serv, Husband, White, Male,40.0, England,0, Local-gov, Protective-serv
36.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,50.0, United-States,1, Private, Exec-managerial
73.0, Self-emp-inc,6.0, Widowed, Sales, Unmarried, White, Female,40.0, Canada,0, Self-emp-inc, Sales
17.0, Private,7.0, Never-married, Sales, Own-child, White, Male,20.0, United-States,0, Private, Sales
27.0, Private,13.0, Never-married, Prof-specialty, Not-in-family, White, Male,40.0, United-States,0, Private, Prof-specialty
31.0, Self-emp-not-inc,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,60.0, United-States,1, Self-emp-not-inc, Prof-specialty
43.0, Self-emp-not-inc,6.0, Married-civ-spouse, Craft-repair, Husband, White, Male,60.0, United-States,0, Self-emp-not-inc, Craft-repair
39.0, Private,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,50.0, United-States,1, Private, Exec-managerial
61.0, Private,9.0, Divorced, Craft-repair, Not-in-family, White, Female,99.0, United-States,0, Private, Craft-repair
20.0, Private,10.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,50.0, United-States,0, Private, Handlers-cleaners
39.0, Private,13.0, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,40.0, China,0, Private, Sales
19.0, Private,9.0, Never-married, Transport-moving, Own-child, White, Male,40.0, United-States,0, Private, Transport-moving
43.0, Local-gov,11.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,40.0, United-States,0, Local-gov, Exec-managerial
22.0, Private,10.0, Never-married, Adm-clerical, Own-child, White, Male,50.0, United-States,0, Private, Adm-clerical
36.0, Private,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,32.0, United-States,0, Private, Prof-specialty
51.0, Private,9.0, Divorced, Craft-repair, Not-in-family, White, Male,38.0, United-States,0, Private, Craft-repair
17.0, Private,9.0, Never-married, Sales, Own-child, White, Female,20.0, United-States,0, Private, Sales
24.0, Private,9.0, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,40.0, South,0, Private, Sales
22.0, Private,10.0, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Male,24.0, India,0, Private, Protective-serv
52.0, Self-emp-not-inc,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,22.0, United-States,0, Self-emp-not-inc, Transport-moving
47.0, Private,9.0, Divorced, Tech-support, Not-in-family, White, Female,36.0, United-States,0, Private, Tech-support
41.0, Private,9.0, Divorced, Machine-op-inspct, Own-child, White, Male,40.0, United-States,0, Private, Machine-op-inspct
37.0, Private,9.0, Never-married, Other-service, Not-in-family, White, Female,40.0, United-States,0, Private, Other-service
22.0, Private,13.0, Never-married, Adm-clerical, Own-child, White, Female,40.0, United-States,0, Private, Adm-clerical
46.0, Private,9.0, Married-civ-spouse, Sales, Husband, White, Male,45.0, United-States,1, Private, Sales
25.0, Private,5.0, Never-married, Farming-fishing, Other-relative, White, Male,45.0, Mexico,0, Private, Farming-fishing
29.0, Private,9.0, Never-married, Farming-fishing, Unmarried, White, Male,35.0, United-States,0, Private, Farming-fishing
18.0, Private,8.0, Never-married, Other-service, Own-child, Black, Male,20.0, United-States,0, Private, Other-service
32.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,50.0, United-States,0, Private, Exec-managerial
31.0, Private,10.0, Never-married, Adm-clerical, Unmarried, Black, Female,35.0, United-States,0, Private, Adm-clerical
28.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0, Private, Craft-repair
37.0, Private,11.0, Never-married, Adm-clerical, Not-in-family, Other, Female,35.0, United-States,0, Private, Adm-clerical
35.0, Private,11.0, Married-civ-spouse, Sales, Husband, White, Male,50.0, Germany,1, Private, Sales
46.0, Private,10.0, Separated, Adm-clerical, Unmarried, White, Female,40.0, United-States,0, Private, Adm-clerical
45.0, Local-gov,14.0, Married-civ-spouse, Prof-specialty, Husband, Black, Male,10.0, United-States,1, Local-gov, Prof-specialty
45.0, Self-emp-not-inc,9.0, Married-civ-spouse, Sales, Husband, White, Male,80.0, United-States,1, Self-emp-not-inc, Sales
47.0, Private,9.0, Married-civ-spouse, Other-service, Wife, White, Female,30.0, United-States,1, Private, Other-service
50.0, Self-emp-not-inc,6.0, Divorced, Craft-repair, Not-in-family, White, Male,45.0, United-States,0, Self-emp-not-inc, Craft-repair
55.0, Self-emp-not-inc,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,40.0, United-States,1, Self-emp-not-inc, Exec-managerial
41.0, Private,6.0, Never-married, Machine-op-inspct, Not-in-family, White, Male,40.0, United-States,0, Private, Machine-op-inspct
39.0, Private,9.0, Separated, Craft-repair, Unmarried, White, Male,40.0, United-States,0, Private, Craft-repair
49.0, Private,10.0, Married-civ-spouse, Sales, Husband, White, Male,40.0, United-States,1, Private, Sales
36.0, Self-emp-not-inc,11.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,60.0, United-States,1, Self-emp-not-inc, Farming-fishing
75.0, Private,9.0, Married-civ-spouse, Sales, Husband, White, Male,20.0, United-States,0, Private, Sales
26.0, Private,10.0, Never-married, Exec-managerial, Not-in-family, White, Female,40.0, United-States,0, Private, Exec-managerial
40.0, State-gov,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,38.0, United-States,1, State-gov, Prof-specialty
